German	IPA	Vietnamese	Example	Translation
die Massenproduktion	[ˈmasn̩pʁodʊkˌtsjoːn]	Sản xuất hàng loạt lớn	Số ít: [Ermöglicht die Massenproduktion niedrige Stückkosten?] [ɛɐˈmøːklɪçt diː ˈmasn̩pʁodʊkˌtsjoːn ˈniːdʁɪɡə ˈʃtʏkkɔstən] – [Ja, die Massenproduktion senkt die Stückkosten deutlich.] [jaː diː ˈmasn̩pʁodʊkˌtsjoːn zɛŋkt diː ˈʃtʏkkɔstən ˈdɔʏtlɪç] \nSố nhiều: [Welche Massenproduktionen laufen derzeit?] [ˈvɛlçə ˈmasn̩pʁodʊkˌtsjoːnən ˈlaʊfən ˈdeːɐtsaɪt] – [Die Massenproduktionen von Verpackungen und Einwegartikeln laufen rund um die Uhr.] [diː ˈmasn̩pʁodʊkˌtsjoːnən fɔn fɛɐˈpakʊŋən ʊnt ˈaɪnveːkˌaʁtɪkəln ˈlaʊfən ʁʊnt ʊm diː uːɐ]	Số ít: "Sản xuất hàng loạt có cho phép chi phí đơn vị thấp không?" – "Có, sản xuất hàng loạt giảm đáng kể chi phí đơn vị." \nSố nhiều: "Những hoạt động sản xuất hàng loạt nào đang diễn ra?" – "Các hoạt động sản xuất hàng loạt bao bì và đồ dùng một lần đang chạy suốt ngày đêm."
die Serienproduktion	[ˈzeːʁiənpʁodʊkˌtsjoːn]	Sản xuất theo loạt	Số ít: [Ab wann startet die Serienproduktion?] [ap van ˈʃtaʁtət diː ˈzeːʁiənpʁodʊkˌtsjoːn] – [Die Serienproduktion startet nach der Freigabe der Muster.] [diː ˈzeːʁiənpʁodʊkˌtsjoːn ˈʃtaʁtət naːx deːɐ ˈfʁaɪɡaːbə deːɐ ˈmʊstɐ] \nSố nhiều: [Welche Serienproduktionen werden verschoben?] [ˈvɛlçə ˈzeːʁiənpʁodʊkˌtsjoːnən ˈvɛʁdən fɛɐˈʃoːbən] – [Die Serienproduktionen der neuen Gehäuse werden um zwei Wochen verschoben.] [diː ˈzeːʁiənpʁodʊkˌtsjoːnən deːɐ ˈnɔʏən ɡəˈhɔʏzə ˈvɛʁdən ʊm tsvaɪ ˈvɔxən fɛɐˈʃoːbən]	Số ít: "Khi nào bắt đầu sản xuất theo loạt?" – "Sản xuất theo loạt bắt đầu sau khi phê duyệt mẫu." \nSố nhiều: "Những đợt sản xuất theo loạt nào bị hoãn?" – "Các đợt sản xuất theo loạt vỏ hộp mới bị hoãn hai tuần."
die Einzelfertigung	[ˈaɪntsl̩ˌfɛʁtɪɡʊŋ]	Sản xuất đơn chiếc	Số ít: [Wann kommt die Einzelfertigung zum Einsatz?] [van kɔmt diː ˈaɪntsl̩ˌfɛʁtɪɡʊŋ tsʊm ˈaɪnzats] – [Die Einzelfertigung kommt bei Spezialmaschinen zum Einsatz.] [diː ˈaɪntsl̩ˌfɛʁtɪɡʊŋ kɔmt baɪ ˈʃpeːtsi̯aːlmaˌʃiːnən tsʊm ˈaɪnzats] \nSố nhiều: [Welche Einzelfertigungen sind besonders aufwendig?] [ˈvɛlçə ˈaɪntsl̩ˌfɛʁtɪɡʊŋən zɪnt bəˈzɔndɐs ˈaʊfvɛndɪç] – [Einzelfertigungen von Prototypen und Werkzeugen sind aufwendig.] [ˈaɪntsl̩ˌfɛʁtɪɡʊŋən fɔn pʁotoˈtyːpən ʊnt ˈvɛʁktsɔʏɡən zɪnt ˈaʊfvɛndɪç]	Số ít: "Khi nào thì sản xuất đơn chiếc được áp dụng?" – "Sản xuất đơn chiếc được áp dụng với máy móc đặc biệt." \nSố nhiều: "Những sản phẩm đơn chiếc nào đặc biệt tốn công?" – "Sản xuất đơn chiếc nguyên mẫu và dụng cụ rất tốn công."
die Auftragsfertigung	[ˈaʊftʁaːksˌfɛʁtɪɡʊŋ]	Sản xuất theo đơn đặt hàng	Số ít: [Bietet die Firma Auftragsfertigung an?] [ˈbiːtət diː ˈfɪʁma ˈaʊftʁaːksˌfɛʁtɪɡʊŋ an] – [Ja, wir bieten Auftragsfertigung für kundenspezifische Teile an.] [jaː viːɐ ˈbiːtən ˈaʊftʁaːksˌfɛʁtɪɡʊŋ fyːɐ ˈkʊndənʃpeˌtsiːfɪʃə ˈtaɪlə an] \nSố nhiều: [Welche Auftragsfertigungen sind in Arbeit?] [ˈvɛlçə ˈaʊftʁaːksˌfɛʁtɪɡʊŋən zɪnt ɪn ˈaʁbaɪt] – [Die Auftragsfertigungen für den Medizintechnikkunden haben Priorität.] [diː ˈaʊftʁaːksˌfɛʁtɪɡʊŋən fyːɐ deːn mediˈtsiːntɛçnɪkˌkʊndən ˈhaːbən pʁioʁiˈtɛːt]	Số ít: "Công ty có cung cấp dịch vụ sản xuất theo đơn đặt hàng không?" – "Có, chúng tôi cung cấp sản xuất theo đơn đặt hàng cho các chi tiết theo yêu cầu khách hàng." \nSố nhiều: "Những đơn sản xuất theo đặt hàng nào đang được thực hiện?" – "Các đơn sản xuất theo đặt hàng cho khách hàng thiết bị y tế được ưu tiên."
die Montage	[mɔnˈtaːʒə]	Lắp ráp	Số ít: [Dauert die Montage eines Motors lange?] [ˈdaʊɐt diː mɔnˈtaːʒə ˈaɪnəs ˈmoːtoːɐs ˈlaŋə] – [Nein, die Montage eines Motors dauert etwa zwei Stunden.] [naɪn diː mɔnˈtaːʒə ˈaɪnəs ˈmoːtoːɐs ˈdaʊɐt ˈɛtva tsvaɪ ˈʃtʊndən] \nSố nhiều: [Welche Montagen finden in Reinräumen statt?] [ˈvɛlçə mɔnˈtaːʒən ˈfɪndən ɪn ˈʁaɪnʁɔʏmən ʃtat] – [Die Montagen von optischen Komponenten finden in Reinräumen statt.] [diː mɔnˈtaːʒən fɔn ˈɔptɪʃən kɔmpoˈnɛntən ˈfɪndən ɪn ˈʁaɪnʁɔʏmən ʃtat]	Số ít: "Việc lắp ráp một động cơ có lâu không?" – "Không, việc lắp ráp một động cơ mất khoảng hai giờ." \nSố nhiều: "Những công đoạn lắp ráp nào diễn ra trong phòng sạch?" – "Việc lắp ráp các linh kiện quang học diễn ra trong phòng sạch."
die Bearbeitung	[bəˈaʁbaɪtʊŋ]	Gia công	Số ít: [Welche Bearbeitung ist hier erforderlich?] [ˈvɛlçə bəˈaʁbaɪtʊŋ ɪst hiːɐ ɛɐˈfɔʁdɐlɪç] – [Hier ist eine spanende Bearbeitung erforderlich.] [hiːɐ ɪst ˈaɪnə ˈʃpaːnəndə bəˈaʁbaɪtʊŋ ɛɐˈfɔʁdɐlɪç] \nSố nhiều: [Welche Bearbeitungen werden extern vergeben?] [ˈvɛlçə bəˈaʁbaɪtʊŋən ˈvɛʁdən ɛksˈtɛʁn fɛɐˈɡeːbən] – [Wärmebehandlungen und Beschichtungen werden extern vergeben.] [ˈvɛʁməbəhandlʊŋən ʊnt bəˈʃɪçtʊŋən ˈvɛʁdən ɛksˈtɛʁn fɛɐˈɡeːbən]	Số ít: "Ở đây cần gia công gì?" – "Ở đây cần gia công cắt gọt." \nSố nhiều: "Những công đoạn gia công nào được thuê ngoài?" – "Xử lý nhiệt và mạ phủ được thuê ngoài."
die Verarbeitung	[fɛɐˈaʁbaɪtʊŋ]	Chế biến (nguyên liệu)	Số ít: [Lohnt sich die Verarbeitung von Recyclingmaterial?] [loːnt zɪç diː fɛɐˈaʁbaɪtʊŋ fɔn ʁeˈsaɪklɪŋmateˌʁi̯aːl] – [Ja, die Verarbeitung von Recyclingmaterial spart Rohstoffe.] [jaː diː fɛɐˈaʁbaɪtʊŋ fɔn ʁeˈsaɪklɪŋmateˌʁi̯aːl ʃpaːɐt ˈʁoːʃtɔfə] \nSố nhiều: [Welche Verarbeitungen sind energieintensiv?] [ˈvɛlçə fɛɐˈaʁbaɪtʊŋən zɪnt enɛʁˈɡiːʔɪntɛnziːf] – [Die Verarbeitung von Metallen und Glas ist energieintensiv.] [diː fɛɐˈaʁbaɪtʊŋ fɔn meˈtalən ʊnt ɡlaːs ɪst enɛʁˈɡiːʔɪntɛnziːf]	Số ít: "Việc chế biến vật liệu tái chế có đáng không?" – "Có, chế biến vật liệu tái chế tiết kiệm nguyên liệu thô." \nSố nhiều: "Những công đoạn chế biến nào tiêu tốn nhiều năng lượng?" – "Chế biến kim loại và thủy tinh tiêu tốn nhiều năng lượng."
die mechanische Bearbeitung	[meˈçaːnɪʃə bəˈaʁbaɪtʊŋ]	Gia công cơ khí	Số ít: [Wird die mechanische Bearbeitung auf CNC‑Maschinen durchgeführt?] [vɪʁt diː meˈçaːnɪʃə bəˈaʁbaɪtʊŋ aʊf tseːɛnˈtseː maˈʃiːnən ˈdʊʁçɡəfyːɐt] – [Ja, die mechanische Bearbeitung erfolgt überwiegend auf CNC‑Maschinen.] [jaː diː meˈçaːnɪʃə bəˈaʁbaɪtʊŋ ɛɐˈfɔlkt ˌyːbɐˈviːɡənt aʊf tseːɛnˈtseː maˈʃiːnən] \nSố nhiều: [Welche mechanischen Bearbeitungen erfordern Kühlschmierstoff?] [ˈvɛlçə meˈçaːnɪʃən bəˈaʁbaɪtʊŋən ɛɐˈfɔʁdɐn ˈkyːlʃmiːɐʃtɔf] – [Fräs‑ und Schleifbearbeitungen erfordern Kühlschmierstoff.] [frɛːs ʊnt ˈʃlaɪfbəˌaʁbaɪtʊŋən ɛɐˈfɔʁdɐn ˈkyːlʃmiːɐʃtɔf]	Số ít: "Gia công cơ khí có được thực hiện trên máy CNC không?" – "Có, gia công cơ khí chủ yếu được thực hiện trên máy CNC." \nSố nhiều: "Những công đoạn gia công cơ khí nào cần dung dịch làm mát bôi trơn?" – "Gia công phay và mài cần dung dịch làm mát bôi trơn."
die Industriemaschinen	[ɪndʊsˈtʁiːmaˌʃiːnən]	Máy móc công nghiệp (số nhiều)	Số ít (die Industriemaschine): [Wofür wird die Industriemaschine eingesetzt?] [voˈfyːɐ vɪʁt diː ɪndʊsˈtʁiːmaˌʃiːnə ˈaɪnɡəzɛtst] – [Die Industriemaschine wird zum Stanzen von Blechen eingesetzt.] [diː ɪndʊsˈtʁiːmaˌʃiːnə vɪʁt tsʊm ˈʃtantsən fɔn ˈblɛçən ˈaɪnɡəzɛtst] \nSố nhiều: [Welche Industriemaschinen sind im Einsatz?] [ˈvɛlçə ɪndʊsˈtʁiːmaˌʃiːnən zɪnt ɪm ˈaɪnzats] – [Es sind hauptsächlich Pressen und Roboter im Einsatz.] [ɛs zɪnt ˈhaʊptzɛçlɪç ˈpʁɛsən ʊnt ˈʁɔbɔtɐ ɪm ˈaɪnzats]	Số ít: "Máy công nghiệp được dùng để làm gì?" – "Máy công nghiệp được dùng để dập tấm kim loại." \nSố nhiều: "Những máy móc công nghiệp nào đang được sử dụng?" – "Chủ yếu là máy ép và robot đang được sử dụng."
die Industrieanlagen	[ɪndʊsˈtʁiːˌanlaːɡən]	Thiết bị công nghiệp (số nhiều)	Số ít (die Industrieanlage): [Wann wurde die Industrieanlage modernisiert?] [van ˈvʊʁdə diː ɪndʊsˈtʁiːˌanlaːɡə modɛʁniˈziːɐt] – [Die Industrieanlage wurde letztes Jahr modernisiert.] [diː ɪndʊsˈtʁiːˌanlaːɡə ˈvʊʁdə ˈlɛtstəs jaːɐ modɛʁniˈziːɐt] \nSố nhiều: [Welche Industrieanlagen werden gewartet?] [ˈvɛlçə ɪndʊsˈtʁiːˌanlaːɡən ˈvɛʁdən ɡəˈvaʁtət] – [Die Kesselanlagen und Förderanlagen werden regelmäßig gewartet.] [diː ˈkɛsəlˌanlaːɡən ʊnt ˈfœʁdɐˌanlaːɡən ˈvɛʁdən ˈʁeːɡəlˌmɛːsɪç ɡəˈvaʁtət]	Số ít: "Thiết bị công nghiệp được hiện đại hóa khi nào?" – "Thiết bị công nghiệp đã được hiện đại hóa năm ngoái." \nSố nhiều: "Những thiết bị công nghiệp nào đang được bảo trì?" – "Các hệ thống nồi hơi và băng tải đang được bảo trì định kỳ."
die Werkzeugmaschine	[ˈvɛʁktsɔʏkmaˌʃiːnə]	Máy công cụ	Số ít: [Welche Werkzeugmaschine wird zum Fräsen benutzt?] [ˈvɛlçə ˈvɛʁktsɔʏkmaˌʃiːnə vɪʁt tsʊm ˈfʁɛːzən bəˈnʊtst] – [Zum Fräsen benutzen wir eine 5‑Achs‑CNC‑Maschine.] [tsʊm ˈfʁɛːzən bəˈnʊtsən viːɐ ˈaɪnə fʏnf ʔaks tseːɛnˈtseː maˈʃiːnə] \nSố nhiều: [Sind die Werkzeugmaschinen vernetzt?] [zɪnt diː ˈvɛʁktsɔʏkmaˌʃiːnən fɛɐˈnɛtst] – [Ja, alle Werkzeugmaschinen sind über ein Netzwerk verbunden.] [jaː ˈalə ˈvɛʁktsɔʏkmaˌʃiːnən zɪnt ˈyːbɐ aɪn ˈnɛtsvɛʁk fɛɐˈbʊndən]	Số ít: "Máy công cụ nào được dùng để phay?" – "Để phay, chúng tôi dùng một máy CNC 5 trục." \nSố nhiều: "Các máy công cụ có được nối mạng không?" – "Có, tất cả máy công cụ đều được kết nối qua mạng."
die CNC‑Maschine	[tseːɛnˈtseː maˈʃiːnə]	Máy CNC	Số ít: [Wofür steht CNC?] [voˈfyːɐ ʃteːt tseːɛnˈtseː] – [CNC steht für „Computerized Numerical Control“.] [tseːɛnˈtseː ʃteːt fyːɐ kɔmˈpjuːtəʁaɪzd nuˈmeːʁɪkəl kɔnˈtʁoːl] \nSố nhiều: [Wie viele CNC‑Maschinen stehen in der Halle?] [viː ˈfiːlə tseːɛnˈtseː maˈʃiːnən ˈʃteːən ɪn deːɐ ˈhalə] – [In der Halle stehen zwölf CNC‑Maschinen.] [ɪn deːɐ ˈhalə ˈʃteːən tsvœlf tseːɛnˈtseː maˈʃiːnən]	Số ít: "CNC là viết tắt của gì?" – "CNC là viết tắt của ‘Computerized Numerical Control’." \nSố nhiều: "Có bao nhiêu máy CNC trong phân xưởng?" – "Trong phân xưởng có mười hai máy CNC."
das Fließband	[ˈfliːsbant]	Băng chuyền	Số ít: [Arbeiten am Fließband noch viele Menschen?] [ˈaʁbaɪtən am ˈfliːsbant nɔx ˈfiːlə ˈmɛnʃən] – [Am Fließband arbeiten heute vor allem Roboter.] [am ˈfliːsbant ˈaʁbaɪtən ˈhɔʏtə foːɐ ˈaləm ˈʁɔbɔtɐ] \nSố nhiều: [Welche Fließbänder werden erneuert?] [ˈvɛlçə ˈfliːsbɛndɐ ˈvɛʁdən ɛɐˈnɔʏɐt] – [Die Fließbänder in der Endmontage werden erneuert.] [diː ˈfliːsbɛndɐ ɪn deːɐ ˈɛntmɔnˌtaːʒə ˈvɛʁdən ɛɐˈnɔʏɐt]	Số ít: "Trên băng chuyền còn nhiều người làm việc không?" – "Trên băng chuyền ngày nay chủ yếu là robot làm việc." \nSố nhiều: "Những băng chuyền nào đang được thay mới?" – "Các băng chuyền ở khâu lắp ráp cuối cùng đang được thay mới."
das Förderband	[ˈfœʁdɐbant]	Băng tải	Số ít: [Wohin führt das Förderband?] [voˈhɪn fyːɐt das ˈfœʁdɐbant] – [Das Förderband führt zur Verpackungsstation.] [das ˈfœʁdɐbant fyːɐt tsuːɐ fɛɐˈpakʊŋsʃtaˌtsjoːn] \nSố nhiều: [Welche Förderbänder sind defekt?] [ˈvɛlçə ˈfœʁdɐbɛndɐ zɪnt deˈfɛkt] – [Die Förderbänder im Bereich Schüttgut sind defekt.] [diː ˈfœʁdɐbɛndɐ ɪm bəˈʁaɪç ˈʃʏtɡuːt zɪnt deˈfɛkt]	Số ít: "Băng tải dẫn đi đâu?" – "Băng tải dẫn đến trạm đóng gói." \nSố nhiều: "Những băng tải nào bị hỏng?" – "Các băng tải ở khu vực hàng rời bị hỏng."
die Hebevorrichtung	[ˈheːbəfoːɐˌʁɪçtʊŋ]	Thiết bị nâng hạ	Số ít: [Ist die Hebevorrichtung für schwere Lasten ausgelegt?] [ɪst diː ˈheːbəfoːɐˌʁɪçtʊŋ fyːɐ ˈʃveːʁə ˈlastən ˈaʊsɡəleːkt] – [Ja, die Hebevorrichtung trägt bis zu fünf Tonnen.] [jaː diː ˈheːbəfoːɐˌʁɪçtʊŋ tʁɛːkt bɪs tsuː fʏnf ˈtɔnən] \nSố nhiều: [Welche Hebevorrichtungen sind im Lager vorhanden?] [ˈvɛlçə ˈheːbəfoːɐˌʁɪçtʊŋən zɪnt ɪm ˈlaːɡɐ foːɐˈhandən] – [Kräne und hydraulische Hebevorrichtungen sind vorhanden.] [kʁɛːnə ʊnt hyˈdʁaʊlɪʃə ˈheːbəfoːɐˌʁɪçtʊŋən zɪnt foːɐˈhandən]	Số ít: "Thiết bị nâng hạ có được thiết kế cho tải nặng không?" – "Có, thiết bị nâng hạ chịu được đến năm tấn." \nSố nhiều: "Những thiết bị nâng hạ nào có trong kho?" – "Cần cẩu và thiết bị nâng thủy lực có sẵn."
der Kran	[kʁaːn]	Cần cẩu	Số ít: [Wie hoch reicht der Kran?] [viː hoːx ʁaɪçt deːɐ kʁaːn] – [Der Kran erreicht eine Höhe von 50 Metern.] [deːɐ kʁaːn ɛɐˈʁaɪçt ˈaɪnə ˈhøːə fɔn ˈfʏnftsɪç ˈmeːtɐn] \nSố nhiều: [Welche Kräne werden auf der Baustelle eingesetzt?] [ˈvɛlçə ˈkʁɛːnə ˈvɛʁdən aʊf deːɐ ˈbaʊʃtɛlə ˈaɪnɡəzɛtst] – [Turmkräne und Mobilkräne werden eingesetzt.] [ˈtʊʁmkʁɛːnə ʊnt moˈbiːlkʁɛːnə ˈvɛʁdən ˈaɪnɡəzɛtst]	Số ít: "Cần cẩu vươn cao bao nhiêu?" – "Cần cẩu đạt độ cao 50 mét." \nSố nhiều: "Những loại cần cẩu nào được dùng trên công trường?" – "Cần cẩu tháp và cần cẩu di động được sử dụng."
der Gabelstapler	[ˈɡaːbl̩ˌʃtaːplɐ]	Xe nâng	Số ít: [Wer darf den Gabelstapler bedienen?] [veːɐ daʁf deːn ˈɡaːbl̩ˌʃtaːplɐ bəˈdiːnən] – [Nur geschulte Mitarbeiter dürfen den Gabelstapler bedienen.] [nuːɐ ɡəˈʃuːltə ˈmɪtaʁbaɪtɐ ˈdʏʁfən deːn ˈɡaːbl̩ˌʃtaːplɐ bəˈdiːnən] \nSố nhiều: [Wo stehen die Gabelstapler?] [voː ˈʃteːən diː ˈɡaːbl̩ˌʃtaːplɐ] – [Die Gabelstapler stehen in der Ladezone.] [diː ˈɡaːbl̩ˌʃtaːplɐ ˈʃteːən ɪn deːɐ ˈlaːdəˌtsoːnə]	Số ít: "Ai được phép vận hành xe nâng?" – "Chỉ nhân viên đã được đào tạo mới được phép vận hành xe nâng." \nSố nhiều: "Những chiếc xe nâng để ở đâu?" – "Xe nâng để ở khu vực bốc xếp."
die Wartung	[ˈvaʁtʊŋ]	Bảo trì (định kỳ)	Số ít: [Wie oft erfolgt die Wartung?] [viː ɔft ɛɐˈfɔlkt diː ˈvaʁtʊŋ] – [Die Wartung erfolgt alle drei Monate.] [diː ˈvaʁtʊŋ ɛɐˈfɔlkt ˈalə dʁaɪ ˈmoːnatə] \nSố nhiều: [Welche Wartungen sind durchzuführen?] [ˈvɛlçə ˈvaʁtʊŋən zɪnt ˈdʊʁçtsuˌfyːʁən] – [Die Wartungen an den Pumpen und Motoren sind durchzuführen.] [diː ˈvaʁtʊŋən an deːn ˈpʊmpən ʊnt moˈtoːʁən zɪnt ˈdʊʁçtsuˌfyːʁən]	Số ít: "Bảo trì được thực hiện thường xuyên như thế nào?" – "Bảo trì được thực hiện ba tháng một lần." \nSố nhiều: "Những công tác bảo trì nào cần được thực hiện?" – "Cần thực hiện bảo trì máy bơm và động cơ."
die Instandhaltung	[ˈɪnʃtanthaltʊŋ]	Bảo dưỡng công nghiệp	Số ít: [Ist die Instandhaltung präventiv?] [ɪst diː ˈɪnʃtanthaltʊŋ pʁɛvɛnˈtiːf] – [Ja, wir setzen auf präventive Instandhaltung.] [jaː viːɐ ˈzɛtsən aʊf pʁɛvɛnˈtiːvə ˈɪnʃtanthaltʊŋ] \nSố nhiều: [Welche Instandhaltungen sind geplant?] [ˈvɛlçə ˈɪnʃtanthaltʊŋən zɪnt ɡəˈplaːnt] – [Die Instandhaltungen an den Produktionslinien sind für August geplant.] [diː ˈɪnʃtanthaltʊŋən an deːn pʁodʊkˈtsjoːnsliːniən zɪnt fyːɐ aʊˈɡʊst ɡəˈplaːnt]	Số ít: "Bảo dưỡng công nghiệp có mang tính phòng ngừa không?" – "Có, chúng tôi chú trọng bảo dưỡng phòng ngừa." \nSố nhiều: "Những kế hoạch bảo dưỡng nào đã được lên?" – "Các đợt bảo dưỡng dây chuyền sản xuất được lên kế hoạch vào tháng Tám."
die Reparatur von Maschinen	[ʁepaʁaˈtuːɐ fɔn maˈʃiːnən]	Sửa chữa máy móc	Số ít (die Reparatur): [Ist die Reparatur teuer?] [ɪst diː ʁepaʁaˈtuːɐ ˈtɔʏɐ] – [Die Reparatur einer CNC‑Steuerung kann teuer sein.] [diː ʁepaʁaˈtuːɐ ˈaɪnɐ tseːɛnˈtseː ˈʃtɔʏəʁʊŋ kan ˈtɔʏɐ zaɪn] \nSố nhiều: [Welche Reparaturen stehen an?] [ˈvɛlçə ʁepaʁaˈtuːʁən ˈʃteːən an] – [Reparaturen an zwei Robotern und einem Förderband stehen an.] [ʁepaʁaˈtuːʁən an tsvaɪ ˈʁɔbɔtɐn ʊnt ˈaɪnəm ˈfœʁdɐbant ˈʃteːən an]	Số ít: "Sửa chữa có đắt không?" – "Sửa chữa một bộ điều khiển CNC có thể đắt." \nSố nhiều: "Những công việc sửa chữa nào sắp tới?" – "Sửa chữa hai robot và một băng tải sắp tới."
die Ersatzteile	[ɛɐˈzatsˌtaɪlə]	Phụ tùng thay thế (số nhiều)	Số ít (das Ersatzteil): [Haben Sie dieses Ersatzteil auf Lager?] [ˈhaːbən ziː ˈdiːzəs ɛɐˈzatsˌtaɪl aʊf ˈlaːɡɐ] – [Ja, das Ersatzteil ist vorrätig.] [jaː das ɛɐˈzatsˌtaɪl ɪst ˈfoːɐʁɛːtɪç] \nSố nhiều: [Welche Ersatzteile werden am häufigsten benötigt?] [ˈvɛlçə ɛɐˈzatsˌtaɪlə ˈvɛʁdən am ˈhɔʏfɪçstən bəˈnøːtɪçt] – [Verschleißteile wie Dichtungen und Filter werden am häufigsten benötigt.] [fɛɐˈʃlaɪstaɪlə viː ˈdɪçtʊŋən ʊnt ˈfɪltɐ ˈvɛʁdən am ˈhɔʏfɪçstən bəˈnøːtɪçt]	Số ít: "Ông/bà có sẵn phụ tùng này trong kho không?" – "Có, phụ tùng đó có sẵn." \nSố nhiều: "Những phụ tùng thay thế nào được cần đến thường xuyên nhất?" – "Phụ tùng hao mòn như gioăng và bộ lọc được cần đến thường xuyên nhất."
der Maschinenbau	[maˈʃiːnənbaʊ]	Chế tạo máy (ngành)	Số ít: [Was versteht man unter Maschinenbau?] [vas fɛɐˈʃteːt man ˈʊntɐ maˈʃiːnənbaʊ] – [Maschinenbau ist die Entwicklung und Produktion von Maschinen.] [maˈʃiːnənbaʊ ɪst diː ɛntˈvɪklʊŋ ʊnt pʁodʊkˈtsjoːn fɔn maˈʃiːnən] \nSố nhiều: [Welche Maschinenbaue sind hier angesiedelt?] [ˈvɛlçə maˈʃiːnənˌbaʊə zɪnt hiːɐ ˈanɡəziːdəlt] – [Der Werkzeugmaschinenbau und der Textilmaschinenbau sind hier angesiedelt.] [deːɐ ˈvɛʁktsɔʏkmaʃiːnənbaʊ ʊnt deːɐ tɛksˈtiːlmaʃiːnənbaʊ zɪnt hiːɐ ˈanɡəziːdəlt]	Số ít: "Chế tạo máy được hiểu là gì?" – "Chế tạo máy là việc phát triển và sản xuất máy móc." \nSố nhiều: "Những ngành chế tạo máy nào có mặt ở đây?" – "Chế tạo máy công cụ và chế tạo máy dệt có mặt ở đây."
die Maschinenherstellung	[maˈʃiːnənˌheːɐʃtɛlʊŋ]	Sản xuất máy móc	Số ít: [Wo findet die Maschinenherstellung statt?] [voː ˈfɪndət diː maˈʃiːnənˌheːɐʃtɛlʊŋ ʃtat] – [Die Maschinenherstellung findet in Werk II statt.] [diː maˈʃiːnənˌheːɐʃtɛlʊŋ ˈfɪndət ɪn vɛʁk tsaɪ ʃtat] \nSố nhiều: [Welche Maschinenherstellungen sind rückläufig?] [ˈvɛlçə maˈʃiːnənˌheːɐʃtɛlʊŋən zɪnt ˈʁʏklɔʏfɪç] – [Die Maschinenherstellungen im Bereich Druckmaschinen sind rückläufig.] [diː maˈʃiːnənˌheːɐʃtɛlʊŋən ɪm bəˈʁaɪç ˈdʁʊkmaʃiːnən zɪnt ˈʁʏklɔʏfɪç]	Số ít: "Việc sản xuất máy móc diễn ra ở đâu?" – "Việc sản xuất máy móc diễn ra ở Nhà máy II." \nSố nhiều: "Những mảng sản xuất máy móc nào đang suy giảm?" – "Sản xuất máy in đang suy giảm."
der Anlagenbau	[ˈanlaːɡənbaʊ]	Chế tạo thiết bị (hệ thống)	Số ít: [Was umfasst der Anlagenbau?] [vas ˈʊmfast deːɐ ˈanlaːɡənbaʊ] – [Der Anlagenbau umfasst Planung und Bau kompletter Industrieanlagen.] [deːɐ ˈanlaːɡənbaʊ ˈʊmfast ˈplaːnʊŋ ʊnt baʊ kɔmˈplɛtɐ ɪndʊsˈtʁiːˌanlaːɡən] \nSố nhiều: [Welche Anlagenbauten werden exportiert?] [ˈvɛlçə ˈanlaːɡənˌbaʊtən ˈvɛʁdən ɛkspɔʁˈtiːɐt] – [Kraftwerks‑ und Chemieanlagenbauten werden stark exportiert.] [ˈkʁaftvɛʁks ʊnt çeˈmiːˌanlaːɡənˌbaʊtən ˈvɛʁdən ʃtaʁk ɛkspɔʁˈtiːɐt]	Số ít: "Chế tạo thiết bị bao gồm những gì?" – "Chế tạo thiết bị bao gồm quy hoạch và xây dựng toàn bộ nhà máy công nghiệp." \nSố nhiều: "Những công trình chế tạo thiết bị nào được xuất khẩu?" – "Các dự án chế tạo nhà máy điện và hóa chất được xuất khẩu mạnh."
der Formenbau	[ˈfɔʁmənbaʊ]	Chế tạo khuôn	Số ít: [Wie lange dauert der Formenbau für dieses Teil?] [viː ˈlaŋə ˈdaʊɐt deːɐ ˈfɔʁmənbaʊ fyːɐ ˈdiːzəs taɪl] – [Der Formenbau für dieses Teil dauert etwa sechs Wochen.] [deːɐ ˈfɔʁmənbaʊ fyːɐ ˈdiːzəs taɪl ˈdaʊɐt ˈɛtva zɛks ˈvɔxən] \nSố nhiều: [Welche Formenbauten werden im Haus gefertigt?] [ˈvɛlçə ˈfɔʁmənˌbaʊtən ˈvɛʁdən ɪm haʊs ɡəˈfɛʁtɪçt] – [Spritzguss‑ und Druckguss‑Formenbauten werden im Haus gefertigt.] [ˈʃpʁɪtsɡʊs ʊnt ˈdʁʊkɡʊs ˈfɔʁmənˌbaʊtən ˈvɛʁdən ɪm haʊs ɡəˈfɛʁtɪçt]	Số ít: "Chế tạo khuôn cho chi tiết này mất bao lâu?" – "Chế tạo khuôn cho chi tiết này mất khoảng sáu tuần." \nSố nhiều: "Những bộ khuôn nào được chế tạo nội bộ?" – "Khuôn ép phun và khuôn đúc áp lực được chế tạo nội bộ."
